epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.24365,0.99096,0.51923,1,0.91074,0.00041441,0.00041441,0.00041441
2,10.679,0.73236,0.76923,1,0.54277,0.000834763,0.000834763,0.000834763
3,13.3979,0.56365,0.83333,1,0.45767,0.00124663,0.00124663,0.00124663
4,16.1516,0.47427,0.83333,1,0.51045,0.00138656,0.00138656,0.00138656
5,18.9581,0.51809,0.75,1,0.68491,0.00137241,0.00137241,0.00137241
6,21.5782,0.45041,0.83974,1,0.52788,0.00135826,0.00135826,0.00135826
7,24.2858,0.46643,0.71795,1,0.80352,0.00134412,0.00134412,0.00134412
8,26.8502,0.42365,0.83974,1,0.60591,0.00132997,0.00132997,0.00132997
9,29.6772,0.47072,0.82692,1,0.50193,0.00131582,0.00131582,0.00131582
10,32.1792,0.35549,0.77564,1,0.62686,0.00130168,0.00130168,0.00130168
11,34.7138,0.3699,0.82051,1,0.78398,0.00128753,0.00128753,0.00128753
12,37.3165,0.32129,0.8141,1,0.65757,0.00127338,0.00127338,0.00127338
13,39.877,0.3093,0.79487,1,0.76699,0.00125923,0.00125923,0.00125923
14,42.4027,0.40322,0.82692,1,0.5312,0.00124509,0.00124509,0.00124509
15,44.862,0.3271,0.84615,1,0.48953,0.00123094,0.00123094,0.00123094
16,47.7746,0.32243,0.8141,1,0.55166,0.00121679,0.00121679,0.00121679
17,50.2203,0.32217,0.80128,1,0.71113,0.00120265,0.00120265,0.00120265
18,52.7552,0.27495,0.83333,1,0.54028,0.0011885,0.0011885,0.0011885
19,55.4334,0.27474,0.83974,1,0.53135,0.00117435,0.00117435,0.00117435
20,57.8689,0.25111,0.88462,1,0.43582,0.00116021,0.00116021,0.00116021
21,60.57,0.29846,0.87821,1,0.39155,0.00114606,0.00114606,0.00114606
22,63.0762,0.2302,0.83333,1,0.60562,0.00113191,0.00113191,0.00113191
23,65.4437,0.18787,0.83333,1,0.61196,0.00111776,0.00111776,0.00111776
24,67.7824,0.17401,0.80769,1,0.66348,0.00110362,0.00110362,0.00110362
25,70.2337,0.17248,0.82692,1,0.60173,0.00108947,0.00108947,0.00108947
26,72.6323,0.18309,0.85897,1,0.53843,0.00107532,0.00107532,0.00107532
27,75.0533,0.16538,0.85256,1,0.51743,0.00106118,0.00106118,0.00106118
28,77.4353,0.17679,0.87821,1,0.50208,0.00104703,0.00104703,0.00104703
29,79.8217,0.18852,0.87179,1,0.49956,0.00103288,0.00103288,0.00103288
30,82.2163,0.1949,0.90385,1,0.47808,0.00101873,0.00101873,0.00101873
31,84.9543,0.212,0.88462,1,0.65745,0.00100459,0.00100459,0.00100459
32,87.5474,0.18854,0.87179,1,0.52954,0.00099044,0.00099044,0.00099044
33,90.1606,0.17167,0.87821,1,0.49297,0.000976293,0.000976293,0.000976293
34,92.6807,0.13507,0.89744,1,0.48749,0.000962146,0.000962146,0.000962146
35,95.2289,0.15229,0.87179,1,0.53191,0.000947999,0.000947999,0.000947999
36,97.7334,0.13694,0.86538,1,0.60796,0.000933851,0.000933851,0.000933851
37,100.284,0.12439,0.87179,1,0.5416,0.000919704,0.000919704,0.000919704
38,102.805,0.12164,0.85256,1,0.5606,0.000905557,0.000905557,0.000905557
39,105.391,0.12626,0.82051,1,0.83594,0.00089141,0.00089141,0.00089141
40,107.798,0.16255,0.8141,1,0.70361,0.000877263,0.000877263,0.000877263
41,110.25,0.13435,0.83974,1,0.62089,0.000863116,0.000863116,0.000863116
42,112.651,0.16657,0.87179,1,0.56655,0.000848969,0.000848969,0.000848969
43,115.095,0.18515,0.91026,1,0.48486,0.000834822,0.000834822,0.000834822
44,118.024,0.15091,0.88462,1,0.55269,0.000820675,0.000820675,0.000820675
45,120.621,0.15154,0.85897,1,0.59937,0.000806528,0.000806528,0.000806528
46,123.251,0.15927,0.88462,1,0.60342,0.00079238,0.00079238,0.00079238
47,125.875,0.12538,0.85897,1,0.61987,0.000778233,0.000778233,0.000778233
48,128.594,0.10632,0.86538,1,0.60669,0.000764086,0.000764086,0.000764086
49,131.163,0.10198,0.83974,1,0.61304,0.000749939,0.000749939,0.000749939
50,133.595,0.08961,0.85897,1,0.71172,0.000735792,0.000735792,0.000735792
51,136.029,0.09047,0.83333,1,0.73369,0.000721645,0.000721645,0.000721645
52,138.44,0.06844,0.86538,1,0.75439,0.000707498,0.000707498,0.000707498
53,140.912,0.09866,0.87179,1,0.75405,0.000693351,0.000693351,0.000693351
54,143.481,0.09358,0.84615,1,0.80508,0.000679204,0.000679204,0.000679204
55,146.005,0.0796,0.84615,1,0.7311,0.000665057,0.000665057,0.000665057
56,148.629,0.1024,0.88462,1,0.5811,0.000650909,0.000650909,0.000650909
57,151.176,0.09027,0.86538,1,0.65693,0.000636762,0.000636762,0.000636762
58,153.705,0.10233,0.86538,1,0.67686,0.000622615,0.000622615,0.000622615
59,156.325,0.08448,0.83974,1,0.68037,0.000608468,0.000608468,0.000608468
60,158.849,0.09414,0.83974,1,0.61753,0.000594321,0.000594321,0.000594321
61,161.472,0.05699,0.84615,1,0.72812,0.000580174,0.000580174,0.000580174
62,164.042,0.08157,0.85897,1,0.6688,0.000566027,0.000566027,0.000566027
63,166.699,0.04123,0.85897,1,0.69424,0.00055188,0.00055188,0.00055188
64,169.423,0.09005,0.86538,1,0.70537,0.000537733,0.000537733,0.000537733
65,171.971,0.14606,0.83333,1,0.92529,0.000523586,0.000523586,0.000523586
66,174.431,0.07391,0.87179,1,0.72769,0.000509438,0.000509438,0.000509438
67,176.936,0.08991,0.86538,1,0.70312,0.000495291,0.000495291,0.000495291
68,179.472,0.08037,0.86538,1,0.7459,0.000481144,0.000481144,0.000481144
69,181.873,0.10711,0.86538,1,0.88347,0.000466997,0.000466997,0.000466997
70,184.386,0.11597,0.84615,1,0.82104,0.00045285,0.00045285,0.00045285
71,186.801,0.06787,0.84615,1,0.74795,0.000438703,0.000438703,0.000438703
72,189.273,0.09797,0.85256,1,0.78579,0.000424556,0.000424556,0.000424556
73,191.673,0.08819,0.85897,1,0.69087,0.000410409,0.000410409,0.000410409
74,194.116,0.07375,0.86538,1,0.61172,0.000396262,0.000396262,0.000396262
75,196.62,0.14381,0.85256,1,0.60624,0.000382115,0.000382115,0.000382115
76,199.156,0.05677,0.87179,1,0.62329,0.000367967,0.000367967,0.000367967
77,201.589,0.08506,0.85256,1,0.6918,0.00035382,0.00035382,0.00035382
78,204.206,0.04019,0.83333,1,0.7272,0.000339673,0.000339673,0.000339673
79,206.869,0.06702,0.84615,1,0.74355,0.000325526,0.000325526,0.000325526
80,209.499,0.05111,0.84615,1,0.78174,0.000311379,0.000311379,0.000311379
81,211.91,0.05199,0.82051,1,0.79282,0.000297232,0.000297232,0.000297232
82,214.35,0.07431,0.82692,1,0.73242,0.000283085,0.000283085,0.000283085
83,216.779,0.02783,0.83974,1,0.7241,0.000268938,0.000268938,0.000268938
84,219.357,0.06636,0.83974,1,0.74187,0.000254791,0.000254791,0.000254791
85,221.971,0.0501,0.83974,1,0.71162,0.000240644,0.000240644,0.000240644
86,224.679,0.03682,0.83974,1,0.76047,0.000226497,0.000226497,0.000226497
87,227.372,0.05268,0.82051,1,0.80469,0.000212349,0.000212349,0.000212349
88,230.084,0.05394,0.83333,1,0.78789,0.000198202,0.000198202,0.000198202
89,232.762,0.06084,0.84615,1,0.76558,0.000184055,0.000184055,0.000184055
90,235.501,0.03318,0.82692,1,0.76455,0.000169908,0.000169908,0.000169908
91,272.375,0.04403,0.83974,1,0.7594,0.000155761,0.000155761,0.000155761
92,275.017,0.03679,0.84615,1,0.76387,0.000141614,0.000141614,0.000141614
93,277.622,0.04455,0.82692,1,0.82827,0.000127467,0.000127467,0.000127467
94,280.2,0.05677,0.82692,1,0.83096,0.00011332,0.00011332,0.00011332
95,282.786,0.03997,0.8141,1,0.82412,9.91726e-05,9.91726e-05,9.91726e-05
96,285.395,0.03296,0.82051,1,0.83652,8.50255e-05,8.50255e-05,8.50255e-05
97,288.21,0.03218,0.82051,1,0.87673,7.08784e-05,7.08784e-05,7.08784e-05
98,290.933,0.03188,0.82692,1,0.84829,5.67313e-05,5.67313e-05,5.67313e-05
99,293.608,0.08676,0.83974,1,0.82915,4.25842e-05,4.25842e-05,4.25842e-05
100,296.292,0.0385,0.83333,1,0.82319,2.84371e-05,2.84371e-05,2.84371e-05
