epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.69608,1.00531,0.52564,1,0.94941,0.0029,0.0029,0.0029
2,12.3755,0.87526,0.66667,1,0.75459,0.00589708,0.00589708,0.00589708
3,14.6152,0.71708,0.76282,1,0.63359,0.00889119,0.00889119,0.00889119
4,16.911,0.666,0.75641,1,0.54941,0.00998515,0.00998515,0.00998515
5,19.003,0.59904,0.80769,1,0.4626,0.0099802,0.0099802,0.0099802
6,21.2748,0.56963,0.78205,1,0.49619,0.00997525,0.00997525,0.00997525
7,23.3783,0.55786,0.77564,1,0.52725,0.0099703,0.0099703,0.0099703
8,25.5478,0.44374,0.83974,1,0.39236,0.00996535,0.00996535,0.00996535
9,27.8174,0.40124,0.83333,1,0.44375,0.0099604,0.0099604,0.0099604
10,29.9222,0.29866,0.85897,1,0.40635,0.00995545,0.00995545,0.00995545
11,32.2008,0.37423,0.82692,1,0.54426,0.0099505,0.0099505,0.0099505
12,34.2694,0.2817,0.83974,1,0.46099,0.00994555,0.00994555,0.00994555
13,36.3528,0.34197,0.83333,1,0.56733,0.0099406,0.0099406,0.0099406
14,38.5078,0.32957,0.86538,1,0.50767,0.00993565,0.00993565,0.00993565
15,40.8426,0.3192,0.85256,1,0.54292,0.0099307,0.0099307,0.0099307
16,43.0313,0.28748,0.86538,1,0.45972,0.00992575,0.00992575,0.00992575
17,45.373,0.28632,0.85897,1,0.43887,0.0099208,0.0099208,0.0099208
18,47.5192,0.32414,0.83974,1,0.61135,0.00991585,0.00991585,0.00991585
19,49.6886,0.24676,0.83333,1,0.5885,0.0099109,0.0099109,0.0099109
20,51.848,0.27739,0.83333,1,0.54312,0.00990595,0.00990595,0.00990595
21,53.9497,0.27621,0.84615,1,0.54763,0.009901,0.009901,0.009901
22,56.0801,0.22055,0.85897,1,0.57913,0.00989605,0.00989605,0.00989605
23,58.206,0.18898,0.84615,1,0.64341,0.0098911,0.0098911,0.0098911
24,60.3221,0.21053,0.85897,1,0.56904,0.00988615,0.00988615,0.00988615
25,62.5408,0.15866,0.85256,1,0.52241,0.0098812,0.0098812,0.0098812
26,64.6948,0.17217,0.85897,1,0.47046,0.00987625,0.00987625,0.00987625
27,66.8313,0.19108,0.85897,1,0.54404,0.0098713,0.0098713,0.0098713
28,68.9705,0.19852,0.83974,1,0.7375,0.00986635,0.00986635,0.00986635
29,71.1191,0.20418,0.85256,1,0.71753,0.0098614,0.0098614,0.0098614
30,73.2586,0.20269,0.85897,1,0.7356,0.00985645,0.00985645,0.00985645
31,75.3678,0.20691,0.83974,1,0.72446,0.0098515,0.0098515,0.0098515
32,77.5501,0.18735,0.85256,1,0.66738,0.00984655,0.00984655,0.00984655
33,79.7014,0.19833,0.85256,1,0.64956,0.0098416,0.0098416,0.0098416
34,81.8406,0.16004,0.84615,1,0.55369,0.00983665,0.00983665,0.00983665
35,83.9391,0.22289,0.85256,1,0.49229,0.0098317,0.0098317,0.0098317
36,86.0149,0.13132,0.85256,1,0.49248,0.00982675,0.00982675,0.00982675
37,88.1015,0.13019,0.85256,1,0.56416,0.0098218,0.0098218,0.0098218
38,90.1993,0.14201,0.83974,1,0.65413,0.00981685,0.00981685,0.00981685
39,92.268,0.15275,0.85256,1,0.6511,0.0098119,0.0098119,0.0098119
40,94.3731,0.18228,0.84615,1,0.74524,0.00980695,0.00980695,0.00980695
41,96.5589,0.12345,0.87179,1,0.78389,0.009802,0.009802,0.009802
42,98.958,0.10531,0.83974,1,0.825,0.00979705,0.00979705,0.00979705
43,101.068,0.12673,0.84615,1,0.84502,0.0097921,0.0097921,0.0097921
44,103.208,0.13845,0.83333,1,0.92031,0.00978715,0.00978715,0.00978715
45,105.308,0.14804,0.80769,1,1.01895,0.0097822,0.0097822,0.0097822
46,107.376,0.16287,0.79487,1,0.85117,0.00977725,0.00977725,0.00977725
47,109.432,0.12014,0.83974,1,0.83448,0.0097723,0.0097723,0.0097723
48,111.523,0.1235,0.85256,1,0.78745,0.00976735,0.00976735,0.00976735
49,113.604,0.11572,0.85256,1,0.7687,0.0097624,0.0097624,0.0097624
50,115.712,0.13189,0.85256,1,0.61455,0.00975745,0.00975745,0.00975745
51,117.794,0.10599,0.84615,1,0.61479,0.0097525,0.0097525,0.0097525
52,119.915,0.11732,0.85897,1,0.73853,0.00974755,0.00974755,0.00974755
53,122.025,0.11906,0.83974,1,0.76802,0.0097426,0.0097426,0.0097426
54,124.17,0.11237,0.83333,1,0.92412,0.00973765,0.00973765,0.00973765
55,126.278,0.09401,0.83333,1,0.87549,0.0097327,0.0097327,0.0097327
56,128.415,0.09906,0.84615,1,0.91211,0.00972775,0.00972775,0.00972775
57,130.564,0.07533,0.83974,1,0.88096,0.0097228,0.0097228,0.0097228
58,132.714,0.10157,0.82692,1,0.9292,0.00971785,0.00971785,0.00971785
59,134.82,0.10665,0.82692,1,0.99346,0.0097129,0.0097129,0.0097129
60,136.946,0.10912,0.83974,1,0.9917,0.00970795,0.00970795,0.00970795
61,139.036,0.10107,0.85256,1,0.73389,0.009703,0.009703,0.009703
62,141.1,0.1326,0.85897,1,0.67329,0.00969805,0.00969805,0.00969805
63,143.263,0.08306,0.83974,1,0.73799,0.0096931,0.0096931,0.0096931
64,145.399,0.09382,0.83333,1,0.81558,0.00968815,0.00968815,0.00968815
65,147.511,0.20211,0.80769,1,1.03994,0.0096832,0.0096832,0.0096832
66,149.617,0.08402,0.85897,1,0.78804,0.00967825,0.00967825,0.00967825
67,151.7,0.23546,0.87821,1,0.74448,0.0096733,0.0096733,0.0096733
68,153.917,0.07188,0.87179,1,0.64146,0.00966835,0.00966835,0.00966835
69,155.998,0.08223,0.85897,1,0.87549,0.0096634,0.0096634,0.0096634
70,158.068,0.07956,0.84615,1,0.77437,0.00965845,0.00965845,0.00965845
71,160.139,0.09291,0.83974,1,0.76992,0.0096535,0.0096535,0.0096535
72,162.199,0.1204,0.83333,1,0.80649,0.00964855,0.00964855,0.00964855
73,164.281,0.05875,0.84615,1,0.79219,0.0096436,0.0096436,0.0096436
74,166.441,0.08252,0.83974,1,0.98711,0.00963865,0.00963865,0.00963865
75,168.517,0.20662,0.84615,1,1.20176,0.0096337,0.0096337,0.0096337
76,170.59,0.09577,0.87179,1,0.83271,0.00962875,0.00962875,0.00962875
77,172.642,0.08766,0.85897,1,0.92495,0.0096238,0.0096238,0.0096238
78,174.733,0.05706,0.84615,1,0.9209,0.00961885,0.00961885,0.00961885
79,176.814,0.09305,0.83974,1,0.86621,0.0096139,0.0096139,0.0096139
80,178.936,0.10954,0.85256,1,0.82798,0.00960895,0.00960895,0.00960895
81,180.998,0.08369,0.82692,1,0.84697,0.009604,0.009604,0.009604
82,183.102,0.10997,0.85256,1,0.92922,0.00959905,0.00959905,0.00959905
83,185.174,0.04557,0.85256,1,1.19238,0.0095941,0.0095941,0.0095941
84,187.243,0.11061,0.86538,1,0.85524,0.00958915,0.00958915,0.00958915
85,189.336,0.08206,0.85256,1,0.95166,0.0095842,0.0095842,0.0095842
86,191.552,0.07917,0.85256,1,0.88008,0.00957925,0.00957925,0.00957925
87,193.69,0.10607,0.87179,1,0.8645,0.0095743,0.0095743,0.0095743
88,195.861,0.07989,0.85256,1,0.91353,0.00956935,0.00956935,0.00956935
89,198.001,0.10635,0.85256,1,1.02876,0.0095644,0.0095644,0.0095644
90,200.071,0.07298,0.84615,1,1.09229,0.00955945,0.00955945,0.00955945
91,202.143,0.06624,0.85897,1,1.09125,0.0095545,0.0095545,0.0095545
92,204.219,0.07396,0.83974,1,1.06528,0.00954955,0.00954955,0.00954955
93,206.313,0.11017,0.85897,1,0.95068,0.0095446,0.0095446,0.0095446
94,208.469,0.09931,0.85897,1,0.89465,0.00953965,0.00953965,0.00953965
95,210.514,0.07324,0.87179,1,0.9583,0.0095347,0.0095347,0.0095347
96,212.624,0.09244,0.85897,1,0.96626,0.00952975,0.00952975,0.00952975
97,214.786,0.10122,0.87179,1,0.99326,0.0095248,0.0095248,0.0095248
98,216.92,0.10463,0.85897,1,1.00762,0.00951985,0.00951985,0.00951985
99,219.044,0.05186,0.83974,1,0.9969,0.0095149,0.0095149,0.0095149
100,221.18,0.10114,0.84615,1,0.92266,0.00950995,0.00950995,0.00950995
101,223.362,0.06173,0.83974,1,0.87798,0.009505,0.009505,0.009505
102,225.447,0.06144,0.83974,1,0.8041,0.00950005,0.00950005,0.00950005
103,227.547,0.08291,0.85256,1,0.88013,0.0094951,0.0094951,0.0094951
104,229.604,0.07273,0.83974,1,1.05693,0.00949015,0.00949015,0.00949015
105,231.688,0.07805,0.87179,1,0.91404,0.0094852,0.0094852,0.0094852
106,233.747,0.0698,0.84615,1,0.87881,0.00948025,0.00948025,0.00948025
107,235.897,0.06679,0.87179,1,0.89606,0.0094753,0.0094753,0.0094753
108,238.045,0.05602,0.87179,1,1.06113,0.00947035,0.00947035,0.00947035
109,240.136,0.07165,0.85256,1,1.07578,0.0094654,0.0094654,0.0094654
110,242.264,0.07536,0.86538,1,0.91389,0.00946045,0.00946045,0.00946045
111,244.416,0.05689,0.87179,1,0.88135,0.0094555,0.0094555,0.0094555
112,246.577,0.06515,0.85256,1,0.8459,0.00945055,0.00945055,0.00945055
113,248.712,0.07009,0.85256,1,0.81807,0.0094456,0.0094456,0.0094456
114,250.905,0.0527,0.82692,1,0.86689,0.00944065,0.00944065,0.00944065
115,253.093,0.06003,0.82051,1,0.82632,0.0094357,0.0094357,0.0094357
116,255.27,0.04792,0.83333,1,0.85254,0.00943075,0.00943075,0.00943075
117,257.399,0.04274,0.83974,1,0.92725,0.0094258,0.0094258,0.0094258
118,259.555,0.06203,0.83333,1,0.84932,0.00942085,0.00942085,0.00942085
119,261.665,0.05251,0.85256,1,0.79224,0.0094159,0.0094159,0.0094159
120,263.738,0.07533,0.85897,1,0.78557,0.00941095,0.00941095,0.00941095
121,265.839,0.059,0.85256,1,0.83066,0.009406,0.009406,0.009406
122,267.936,0.06448,0.8141,1,1.03574,0.00940105,0.00940105,0.00940105
123,270.015,0.04463,0.84615,1,0.99199,0.0093961,0.0093961,0.0093961
124,272.146,0.04664,0.85897,1,0.91074,0.00939115,0.00939115,0.00939115
125,274.349,0.06299,0.82692,1,1.02476,0.0093862,0.0093862,0.0093862
126,276.548,0.03614,0.8141,1,1.04902,0.00938125,0.00938125,0.00938125
127,278.722,0.09065,0.82692,1,1.08237,0.0093763,0.0093763,0.0093763
128,280.889,0.06874,0.82692,1,1.05322,0.00937135,0.00937135,0.00937135
129,283.053,0.04616,0.80769,1,0.92729,0.0093664,0.0093664,0.0093664
130,285.317,0.05418,0.83333,1,0.90889,0.00936145,0.00936145,0.00936145
131,287.544,0.04563,0.82692,1,0.97388,0.0093565,0.0093565,0.0093565
132,289.755,0.05803,0.83974,1,0.97036,0.00935155,0.00935155,0.00935155
133,291.901,0.05883,0.85897,1,1.04316,0.0093466,0.0093466,0.0093466
134,294.11,0.05283,0.86538,1,1.05952,0.00934165,0.00934165,0.00934165
135,296.349,0.04915,0.82692,1,1.29316,0.0093367,0.0093367,0.0093367
136,298.553,0.07674,0.82051,1,1.32354,0.00933175,0.00933175,0.00933175
137,300.755,0.08145,0.79487,1,1.43047,0.0093268,0.0093268,0.0093268
138,302.941,0.09684,0.8141,1,1.22295,0.00932185,0.00932185,0.00932185
139,305.096,0.06444,0.82051,1,1.2333,0.0093169,0.0093169,0.0093169
140,307.203,0.05564,0.84615,1,1.11973,0.00931195,0.00931195,0.00931195
141,309.346,0.0901,0.83974,1,1.09438,0.009307,0.009307,0.009307
142,311.425,0.05269,0.8141,1,1.00947,0.00930205,0.00930205,0.00930205
143,313.468,0.05517,0.80769,1,1.27715,0.0092971,0.0092971,0.0092971
144,315.548,0.05156,0.82051,1,1.27656,0.00929215,0.00929215,0.00929215
145,317.619,0.08802,0.83974,1,1.16289,0.0092872,0.0092872,0.0092872
146,319.785,0.07292,0.83333,1,1.08467,0.00928225,0.00928225,0.00928225
147,321.911,0.04314,0.82051,1,1.07715,0.0092773,0.0092773,0.0092773
148,324.1,0.05663,0.80128,1,1.31689,0.00927235,0.00927235,0.00927235
149,326.307,0.06449,0.82051,1,1.09741,0.0092674,0.0092674,0.0092674
150,328.498,0.03154,0.8141,1,1.15586,0.00926245,0.00926245,0.00926245
151,330.739,0.05314,0.83333,1,1.26709,0.0092575,0.0092575,0.0092575
152,333.052,0.03301,0.82692,1,1.24111,0.00925255,0.00925255,0.00925255
153,335.362,0.04796,0.82051,1,1.25244,0.0092476,0.0092476,0.0092476
154,337.629,0.0461,0.83333,1,1.27998,0.00924265,0.00924265,0.00924265
155,339.912,0.0449,0.83974,1,1.20166,0.0092377,0.0092377,0.0092377
156,342.184,0.04062,0.83333,1,1.06436,0.00923275,0.00923275,0.00923275
157,344.417,0.04792,0.83974,1,1.04463,0.0092278,0.0092278,0.0092278
158,346.704,0.04613,0.84615,1,1.08799,0.00922285,0.00922285,0.00922285
159,348.988,0.031,0.83974,1,1.17327,0.0092179,0.0092179,0.0092179
160,351.245,0.03285,0.82051,1,1.20591,0.00921295,0.00921295,0.00921295
161,353.484,0.04397,0.82051,1,1.23037,0.009208,0.009208,0.009208
162,355.852,0.08051,0.82692,1,1.15479,0.00920305,0.00920305,0.00920305
163,358.108,0.05964,0.80769,1,1.22871,0.0091981,0.0091981,0.0091981
164,360.301,0.05215,0.83333,1,1.30806,0.00919315,0.00919315,0.00919315
165,362.433,0.04112,0.83974,1,1.33857,0.0091882,0.0091882,0.0091882
166,364.585,0.04797,0.84615,1,1.42051,0.00918325,0.00918325,0.00918325
167,366.738,0.04427,0.82051,1,1.52363,0.0091783,0.0091783,0.0091783
